INFO:root:Start initializing
INFO:root:Finish building module: reward agent, user ppo, system ppo
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 0.4068492650985718
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 0.4332648515701294
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 0.39942318201065063
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 0.40252000093460083
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 0.4102188050746918
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 0.4099111557006836
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 0.41999661922454834
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 0.4107939898967743
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 0.4431856572628021
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 0.4098360538482666
INFO:root:Episode 1100, Avg length: 20.0,  Avg reward: 0.4221714437007904
INFO:root:Episode 1200, Avg length: 20.0,  Avg reward: 0.4091874659061432
INFO:root:Episode 1300, Avg length: 20.0,  Avg reward: 0.4108407199382782
INFO:root:Episode 1400, Avg length: 20.0,  Avg reward: 0.40423527359962463
INFO:root:Episode 1500, Avg length: 20.0,  Avg reward: 0.407776802778244
INFO:root:Episode 1600, Avg length: 20.0,  Avg reward: 0.4022131860256195
INFO:root:Episode 1700, Avg length: 20.0,  Avg reward: 0.4260765016078949
INFO:root:Episode 1800, Avg length: 20.0,  Avg reward: 0.4241127073764801
INFO:root:Episode 1900, Avg length: 20.0,  Avg reward: 0.4058650732040405
INFO:root:Episode 2000, Avg length: 20.0,  Avg reward: 0.41134747862815857
INFO:root:Episode 2100, Avg length: 20.0,  Avg reward: 0.4395214319229126
INFO:root:Episode 2200, Avg length: 20.0,  Avg reward: 0.421419233083725
INFO:root:Episode 2300, Avg length: 20.0,  Avg reward: 0.41319742798805237
INFO:root:Episode 2400, Avg length: 20.0,  Avg reward: 0.4067641794681549
INFO:root:Episode 2500, Avg length: 20.0,  Avg reward: 0.4258071482181549
INFO:root:Episode 2600, Avg length: 20.0,  Avg reward: 0.4088841676712036
INFO:root:Episode 2700, Avg length: 20.0,  Avg reward: 0.42340075969696045
