INFO:root:Start initializing
INFO:root:Finish building module: reward agent, user ppo, system ppo
INFO:root:Episode 50, Avg length: 20.0,  Avg reward: 1.0960205793380737
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 1.1099807024002075
INFO:root:Episode 150, Avg length: 20.0,  Avg reward: 1.0817553997039795
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 1.1144444942474365
INFO:root:Episode 250, Avg length: 20.0,  Avg reward: 1.1085376739501953
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 1.1194080114364624
INFO:root:Episode 350, Avg length: 20.0,  Avg reward: 1.1002429723739624
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 1.1097075939178467
INFO:root:Episode 450, Avg length: 20.0,  Avg reward: 1.1317634582519531
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 1.1017967462539673
INFO:root:Episode 550, Avg length: 20.0,  Avg reward: 1.1318761110305786
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 1.1068978309631348
INFO:root:Episode 650, Avg length: 20.0,  Avg reward: 1.143908977508545
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 1.150006651878357
INFO:root:Episode 750, Avg length: 20.0,  Avg reward: 1.125128984451294
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 1.1490468978881836
INFO:root:Episode 850, Avg length: 20.0,  Avg reward: 1.1560860872268677
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 1.1642024517059326
INFO:root:Episode 950, Avg length: 20.0,  Avg reward: 1.148912787437439
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 1.1362297534942627
INFO:root:Episode 50, Avg length: 20.0,  Avg reward: 6.173943042755127
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 6.234909534454346
INFO:root:Episode 150, Avg length: 20.0,  Avg reward: 6.199665069580078
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 6.334741592407227
INFO:root:Episode 250, Avg length: 20.0,  Avg reward: 6.462167263031006
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 6.313969612121582
INFO:root:Episode 350, Avg length: 20.0,  Avg reward: 6.464043140411377
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 6.371028423309326
INFO:root:Episode 450, Avg length: 20.0,  Avg reward: 6.4321794509887695
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 6.429037570953369
INFO:root:Episode 550, Avg length: 20.0,  Avg reward: 6.262582302093506
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 6.318815231323242
INFO:root:Episode 650, Avg length: 20.0,  Avg reward: 6.447072982788086
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 6.429713249206543
INFO:root:Episode 750, Avg length: 20.0,  Avg reward: 6.47463846206665
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 6.362789154052734
INFO:root:Episode 850, Avg length: 20.0,  Avg reward: 6.539294242858887
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 6.554466724395752
INFO:root:Episode 950, Avg length: 20.0,  Avg reward: 6.489658355712891
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 6.54936408996582
