INFO:root:Start initializing
INFO:root:Finish building module: reward agent, user ppo, system ppo
INFO:root:Episode 50, Avg length: 20.0,  Avg reward: 0.7209389209747314
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 0.7107483148574829
INFO:root:Episode 150, Avg length: 20.0,  Avg reward: 0.7245436310768127
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 0.7176685929298401
INFO:root:Episode 250, Avg length: 20.0,  Avg reward: 0.7401543259620667
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 0.7464193105697632
INFO:root:Episode 350, Avg length: 20.0,  Avg reward: 0.74895179271698
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 0.7165484428405762
INFO:root:Episode 450, Avg length: 20.0,  Avg reward: 0.7313509583473206
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 0.747775137424469
INFO:root:Episode 550, Avg length: 20.0,  Avg reward: 0.7283889651298523
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 0.7513787746429443
INFO:root:Episode 650, Avg length: 20.0,  Avg reward: 0.7371028661727905
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 0.7408934831619263
INFO:root:Episode 750, Avg length: 20.0,  Avg reward: 0.736826479434967
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 0.7595847845077515
INFO:root:Episode 850, Avg length: 20.0,  Avg reward: 0.7470000386238098
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 0.7682830095291138
INFO:root:Episode 950, Avg length: 20.0,  Avg reward: 0.790697455406189
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 0.7694730162620544
INFO:root:user policy training stop here
INFO:root:Episode 50, Avg length: 20.0,  Avg reward: 5.848428249359131
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 5.958273410797119
INFO:root:Episode 150, Avg length: 20.0,  Avg reward: 5.947695732116699
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 5.859701633453369
INFO:root:Episode 250, Avg length: 20.0,  Avg reward: 5.996494770050049
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 5.935050010681152
INFO:root:Episode 350, Avg length: 20.0,  Avg reward: 5.88957405090332
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 5.908741474151611
INFO:root:Episode 450, Avg length: 20.0,  Avg reward: 6.023015975952148
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 5.951684951782227
INFO:root:Episode 550, Avg length: 20.0,  Avg reward: 6.006698131561279
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 5.818618297576904
INFO:root:Episode 650, Avg length: 20.0,  Avg reward: 6.007143497467041
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 6.170354843139648
INFO:root:Episode 750, Avg length: 20.0,  Avg reward: 6.043133735656738
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 6.097636699676514
INFO:root:Episode 850, Avg length: 20.0,  Avg reward: 6.0692901611328125
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 6.152420520782471
INFO:root:Episode 950, Avg length: 20.0,  Avg reward: 6.045348644256592
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 6.123910903930664
INFO:root:system policy training stop here
INFO:root:Episode 50, Avg length: 20.0,  Avg reward: 0.9750992059707642
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 0.9947168231010437
INFO:root:Episode 150, Avg length: 20.0,  Avg reward: 0.9698129892349243
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 0.9920644164085388
INFO:root:Episode 250, Avg length: 20.0,  Avg reward: 0.964659571647644
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 0.983319878578186
INFO:root:Episode 350, Avg length: 20.0,  Avg reward: 1.0287683010101318
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 1.035391926765442
INFO:root:Episode 450, Avg length: 20.0,  Avg reward: 0.9847055673599243
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 0.9967775940895081
INFO:root:Episode 550, Avg length: 20.0,  Avg reward: 1.0066109895706177
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 1.0313961505889893
INFO:root:Episode 650, Avg length: 20.0,  Avg reward: 1.0165679454803467
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 1.0272248983383179
INFO:root:Episode 750, Avg length: 20.0,  Avg reward: 1.043250560760498
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 1.0271425247192383
INFO:root:Episode 850, Avg length: 20.0,  Avg reward: 1.0412801504135132
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 1.0526350736618042
INFO:root:Episode 950, Avg length: 20.0,  Avg reward: 1.0516165494918823
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 1.0619090795516968
