INFO:root:Start initializing
INFO:root:Finish building module: reward agent, user ppo, system ppo
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 1.181693434715271
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 1.162645697593689
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 1.1671385765075684
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 1.1547948122024536
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 1.1736514568328857
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 1.1590521335601807
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 1.1707860231399536
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 1.1743968725204468
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 1.1804780960083008
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 1.1976593732833862
INFO:root:Episode 1100, Avg length: 20.0,  Avg reward: 1.1777185201644897
INFO:root:Episode 1200, Avg length: 20.0,  Avg reward: 1.1925444602966309
INFO:root:Episode 1300, Avg length: 20.0,  Avg reward: 1.1868044137954712
INFO:root:Episode 1400, Avg length: 20.0,  Avg reward: 1.1900746822357178
INFO:root:Episode 1500, Avg length: 20.0,  Avg reward: 1.1961674690246582
INFO:root:Episode 1600, Avg length: 20.0,  Avg reward: 1.2145203351974487
INFO:root:Episode 1700, Avg length: 20.0,  Avg reward: 1.2037677764892578
INFO:root:Episode 1800, Avg length: 20.0,  Avg reward: 1.2081241607666016
INFO:root:Episode 1900, Avg length: 20.0,  Avg reward: 1.2141218185424805
INFO:root:Episode 2000, Avg length: 20.0,  Avg reward: 1.2252227067947388
INFO:root:Episode 2100, Avg length: 20.0,  Avg reward: 1.215627908706665
INFO:root:Episode 2200, Avg length: 20.0,  Avg reward: 1.2119152545928955
INFO:root:Episode 2300, Avg length: 20.0,  Avg reward: 1.2290583848953247
INFO:root:Episode 2400, Avg length: 20.0,  Avg reward: 1.2220568656921387
INFO:root:Episode 2500, Avg length: 20.0,  Avg reward: 1.2181854248046875
INFO:root:Episode 2600, Avg length: 20.0,  Avg reward: 1.241421103477478
INFO:root:Episode 2700, Avg length: 20.0,  Avg reward: 1.2390427589416504
INFO:root:Episode 2800, Avg length: 20.0,  Avg reward: 1.2201038599014282
INFO:root:Episode 2900, Avg length: 20.0,  Avg reward: 1.2236536741256714
INFO:root:Episode 3000, Avg length: 20.0,  Avg reward: 1.2118467092514038
INFO:root:Episode 3100, Avg length: 20.0,  Avg reward: 1.2248923778533936
INFO:root:Episode 3200, Avg length: 20.0,  Avg reward: 1.213546872138977
INFO:root:Episode 3300, Avg length: 20.0,  Avg reward: 1.2334460020065308
INFO:root:Episode 3400, Avg length: 20.0,  Avg reward: 1.2391339540481567
