INFO:root:Start initializing
INFO:root:Finish building module: reward agent, user ppo, system ppo
INFO:root:Episode 50, Avg length: 20.0,  Avg reward: 0.7035473585128784
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 0.6947585940361023
INFO:root:Episode 150, Avg length: 20.0,  Avg reward: 0.6756802201271057
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 0.6704224944114685
INFO:root:Episode 250, Avg length: 20.0,  Avg reward: 0.677306056022644
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 0.688974142074585
INFO:root:Episode 350, Avg length: 20.0,  Avg reward: 0.6894122362136841
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 0.7012150287628174
INFO:root:Episode 450, Avg length: 20.0,  Avg reward: 0.6896883249282837
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 0.697374165058136
INFO:root:Episode 550, Avg length: 20.0,  Avg reward: 0.6740183234214783
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 0.700002908706665
INFO:root:Episode 650, Avg length: 20.0,  Avg reward: 0.6989122629165649
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 0.7158418893814087
INFO:root:Episode 750, Avg length: 20.0,  Avg reward: 0.6920346021652222
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 0.7008070945739746
INFO:root:Episode 850, Avg length: 20.0,  Avg reward: 0.6920677423477173
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 0.7023125290870667
INFO:root:Episode 950, Avg length: 20.0,  Avg reward: 0.7217987775802612
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 0.7278606295585632
INFO:root:Episode 1050, Avg length: 20.0,  Avg reward: 0.7005093097686768
INFO:root:Episode 1100, Avg length: 20.0,  Avg reward: 0.7255609631538391
INFO:root:Episode 1150, Avg length: 20.0,  Avg reward: 0.7284986972808838
INFO:root:Episode 1200, Avg length: 20.0,  Avg reward: 0.7035061120986938
INFO:root:Episode 1250, Avg length: 20.0,  Avg reward: 0.7267006039619446
INFO:root:Episode 1300, Avg length: 20.0,  Avg reward: 0.7382460832595825
INFO:root:Episode 1350, Avg length: 20.0,  Avg reward: 0.7213666439056396
INFO:root:Episode 1400, Avg length: 20.0,  Avg reward: 0.7011931538581848
INFO:root:Episode 1450, Avg length: 20.0,  Avg reward: 0.7115463018417358
INFO:root:Episode 1500, Avg length: 20.0,  Avg reward: 0.725006103515625
INFO:root:Episode 1550, Avg length: 20.0,  Avg reward: 0.7317225933074951
INFO:root:Episode 1600, Avg length: 20.0,  Avg reward: 0.740479588508606
INFO:root:Episode 1650, Avg length: 20.0,  Avg reward: 0.7209188342094421
INFO:root:Episode 1700, Avg length: 20.0,  Avg reward: 0.7421092391014099
INFO:root:Episode 1750, Avg length: 20.0,  Avg reward: 0.7139273881912231
INFO:root:Episode 1800, Avg length: 20.0,  Avg reward: 0.7237643599510193
INFO:root:Episode 1850, Avg length: 20.0,  Avg reward: 0.7244211435317993
INFO:root:Episode 1900, Avg length: 20.0,  Avg reward: 0.7415202260017395
INFO:root:Episode 1950, Avg length: 20.0,  Avg reward: 0.7383401393890381
INFO:root:Episode 2000, Avg length: 20.0,  Avg reward: 0.7422480583190918
INFO:root:Episode 2050, Avg length: 20.0,  Avg reward: 0.7282208800315857
