INFO:root:Start initializing
INFO:root:Finish building module: reward agent, user ppo, system ppo
INFO:root:Episode 50, Avg length: 20.0,  Avg reward: 1.0079689025878906
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 1.0039347410202026
INFO:root:Episode 150, Avg length: 20.0,  Avg reward: 0.9873918890953064
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 0.9936547875404358
INFO:root:Episode 250, Avg length: 20.0,  Avg reward: 1.018438458442688
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 1.0135483741760254
INFO:root:Episode 350, Avg length: 20.0,  Avg reward: 1.02113938331604
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 1.0249133110046387
INFO:root:Episode 450, Avg length: 20.0,  Avg reward: 1.037760615348816
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 1.029029130935669
INFO:root:Episode 550, Avg length: 20.0,  Avg reward: 1.0336788892745972
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 1.0352349281311035
INFO:root:Episode 650, Avg length: 20.0,  Avg reward: 1.0398261547088623
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 1.0604829788208008
INFO:root:Episode 750, Avg length: 20.0,  Avg reward: 1.0233328342437744
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 1.0797103643417358
INFO:root:Episode 850, Avg length: 20.0,  Avg reward: 1.048985481262207
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 1.0431323051452637
INFO:root:Episode 950, Avg length: 20.0,  Avg reward: 1.0331223011016846
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 1.0773015022277832
INFO:root:Episode 1050, Avg length: 20.0,  Avg reward: 1.067796230316162
INFO:root:Episode 1100, Avg length: 20.0,  Avg reward: 1.069870114326477
INFO:root:Episode 1150, Avg length: 20.0,  Avg reward: 1.1011830568313599
INFO:root:Episode 1200, Avg length: 20.0,  Avg reward: 1.0712333917617798
INFO:root:Episode 1250, Avg length: 20.0,  Avg reward: 1.0423556566238403
INFO:root:Episode 1300, Avg length: 20.0,  Avg reward: 1.0461593866348267
INFO:root:Episode 1350, Avg length: 20.0,  Avg reward: 1.0635019540786743
INFO:root:Episode 1400, Avg length: 20.0,  Avg reward: 1.0803911685943604
